departure_delay,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x
-6,39,0.01,28.93,4,15
-8,66,0,29.08,10,9
95,54,0.02,29.16,5,8
-6,41,0.06,29.2,2,17
-6,46,0,30.24,10,3
-6,49,0.04,28.97,3,8
0,48,0,29.22,1.5,7
-3,31,0,27.1,10,0
-1,54,0,30.37,10,11
0,63,0,30.23,0.5,3
0,75,0,29.89,8,10
-7,55,0,29.99,10,7
7,60,0,27.68,10,15
-6,46,0,28.89,10,15
-5,44,0,29.99,10,5
-4,43,0,29.12,0.25,6
-4,67,0,29.46,5,7
-5,75,0,29.89,8,10
0,36,0,25.75,10,6
-9,31,0,27.1,10,0
-5,44,0,28.71,10,11
-5,76,0.02,30.08,10,13
15,52,0,28.52,7,7
-7,52,0,29.94,10,3
-1,66,0,28.69,10,3
41,73,0,29.92,10,17
-4,69,0,29.06,10,17
-6,52,0,29.94,10,3
-3,74,0,29.36,6,10
-1,64,0,29.82,10,3
-6,37,0,29.02,10,10
-4,43,0.03,29.29,10,14
-5,52,0,30.41,10,6
-3,49,0,29.98,10,0
-10,54,0.03,29.01,2.5,0
-7,40,0,27.52,10,10
-11,54,0,30.37,10,11
-4,60,0,27.68,10,15
-6,50,0,30.43,10,3
-4,44,0,29.5,10,16
-11,39,0.02,25.08,10,17
-10,31,0,28.29,9,0
-6,62,0.04,29.07,10,18
-9,44,0.14,29.93,3,8
12,72,0,29.53,10,10
-9,46,0,30.24,10,3
-2,65,0,26.93,2,6
-6,57,0,29.03,10,5
-5,41,0,25.13,10,7
99,58,0,28.88,8,0
-1,50,0.02,28.97,1,0
-5,57,0,29.66,10,3
-5,65,0,29.42,10,10
-12,26,0,23.36,10,5
-6,45,0,30.14,10,3
-4,44,0.14,29.93,3,8
-7,68,0,28.95,10,13
-7,46,0,30.24,10,3
-3,44,0,23.4,10,8
90,69,0,29.06,10,17
-10,45,0.07,29.72,10,10
-2,70,0,29.05,10,17
-5,44,0.02,29.72,7,10
-10,45,0.02,27.86,10,10
2,58,0,29.65,10,3
-6,67,0,30.22,7,0
212,66,0,29.14,10,3
-6,44,0,30.19,10,0
-4,78,0,29.77,10,18
-10,34,0,26.87,10,3
-5,46,0,29.32,8,9
-5,64,0,29.82,10,3
0,28,0,22.79,10,5
-5,57,0,29.03,10,5
-5,56,0,27.28,10,5
-9,64,0,30.1,2,3
5,39,0,28.67,10,0
-9,46,0,29.82,8,0
-9,36,0,28.34,10,5
-2,74,0,29.36,6,10
-4,64,0,30.1,2,3
4,49,0,24.68,10,5
-9,50,0.02,28.97,1,0
-2,43,0,30.12,10,5
-5,66,0,29.08,10,9
-2,77,0,30.07,10,8
-7,49,0,30.39,10,0
7,68,0,29.99,10,6
0,60,0,29.22,10,14
-7,73,0,29.23,8,11
-9,45,0,29.62,10,6
-4,38,0,29.13,4,8
63,45,0,29.35,10,5
-4,61,0.02,29.12,10,13
-7,63,0,29.32,9,3
-4,59,0,29.18,10,7
-2,60,0,30.27,10,11
13,67,0,29.46,5,7
-1,77,0.06,30.11,10,14
-5,69,0,30.05,0.25,0
32,29,0.02,25.57,0.75,6
-12,50,0,30.43,10,3
-6,33,0,23.15,10,0
-8,45,0,30.39,10,3
2,59,0,29.18,10,7
-7,52,0,30.41,10,6
-10,50,0,30.43,10,3
-13,56,0,28.85,7,3
2,52,0,28.78,10,0
-5,44,0,29.5,10,16
0,49,0,30.39,10,0
-17,50,0,30.44,10,0
-7,46,,29.91,15,5
-6,44,0.14,29.93,3,8
-6,53,0,29.67,9,3
-1,58,0,28.59,10,0
-7,65,0,29.19,10,8
-5,51,0,29.22,9,6
-1,68,0,30.11,10,7
-5,53,0,26.54,10,8
-3,45,0.07,29.72,10,10
-4,60,0,27.68,10,15
-1,64,0,29.82,10,3
-3,60,0,30.27,10,11
45,63,0,27.57,10,17
-3,66,0,29.59,4,7
-4,47,0,29.96,10,6
4,47,0,29.96,10,6
-5,43,0,29.12,0.25,6
-3,64,0,30.19,5,0
-3,60,0,30.27,10,11
-7,60,0,29.22,10,14
-7,45,0,30.14,10,3
1,44,0,29.58,10,7
8,76,0.02,30.08,10,13
-1,77,0,29.79,9,20
-9,28,0.02,24.92,10,7
-3,77,0,30.07,10,8
-4,42,0,30.38,10,3
-1,72,0,29.49,10,9
-10,,,,,
-3,44,0,29.47,10,16
0,53,0.01,29.16,2.5,9
-2,52,0,30.41,10,6
-10,47,0,29.32,9,7
-4,31,0.05,26.74,0.75,5
-3,66,0,29.08,10,9
-2,74,0,29,9,11
-3,44,0,29.99,10,5
-8,60,0,30.27,10,11
-7,57,0,29.03,10,5
-10,55,0,29.99,10,8
-6,72,0,30.03,10,8
-4,39,0,29.8,10,3
-3,48,0,29.29,10,5
0,76,0.02,30.08,10,13
0,72,0,30.16,10,3
-10,58,0,30.26,0,3
-3,57,0,28.85,10,0
-7,69,0,30.13,10,6
-16,45,0.02,29.16,10,8
1,68,0,30.1,10,6
3,66,0,30.06,0.5,6
-3,67,0,29.12,10,5
-7,60,0,29.48,10,5
-8,39,0,30.22,10,9
-6,50,0,30.43,10,3
-6,38,0,28.18,2,9
0,64,0.03,30.27,10,0
-5,42,0.02,29.23,10,6
-6,66,0,29.12,10,3
-4,49,0,24.68,10,5
-1,56,0,28.85,7,3
-1,64,0,30.1,2,3
-5,53,0,30.41,10,7
-6,45,0,30.39,10,3
-3,66,0,29.14,10,3
-2,60,0,27.68,10,15
-2,52,0,30.41,10,6
-5,67,0,29.48,3,8
-5,76,0.02,30.08,10,13
3,36,0,24.41,0.75,10
-5,45,0.07,29.72,10,10
-1,75,0,29.89,8,10
-7,45,0.07,29.72,10,10
-11,46,0,30.24,10,3
-5,49,0,30.35,5,0
-3,59,0,29.18,10,7
-3,45,0,30.14,10,3
-4,60,0,30.27,10,11
-3,47,0.15,29.05,2,18
-1,72,0,30.16,10,3
-1,75,0,29.03,8,13
-4,52,0,24.7,10,3
-4,31,0,26.41,10,8
12,48,0,29.22,1.5,7
-5,73,0,30.16,10,5
-3,72,0,29.49,10,9
-2,43,0,29.12,0.25,6
0,67,0,29.84,10,7
-5,71,0,29.5,10,9
0,57,0,29.66,10,3
53,43,0,29.12,0.25,6
-3,60,0,27.68,10,15
0,58,0,30.18,9,11
-5,61,0,29.01,10,0
-5,58,0,29.98,10,8
-11,56,0,30.03,10,13
-9,51,0,29.22,9,6
-5,64,0,29.82,10,3
-5,60,0,30.27,10,11
-7,52,0,30.41,10,6
-7,72,0,30.03,10,8
-8,76,0,30,10,7
-5,44,0,29.5,10,16
-6,65,0,29.45,10,0
-8,67,0.01,30.22,0.25,3
-5,44,0.14,29.93,3,8
-3,47,0,29.32,9,7
-2,64,0,30.1,2,3
-10,39,0.01,28.93,4,15
0,39,0,28.67,10,0
-6,42,0,30.38,10,3
-4,41,0.06,29.2,2,17
192,44,0,29.5,10,16
4,53,0,30.41,10,7
-8,67,0,30.25,10,5
-8,50,0,30.43,10,3
-5,57,0.01,28.97,4,11
-7,61,0.02,29.1,10,16
4,67,0,30.22,7,0
-7,48,0,29.29,10,5
-13,42,0,30.11,10,6
-6,52,0,30.41,10,6
-5,56,0,28.85,7,3
4,71,0,29.5,10,9
-9,64,0,30.16,8,0
-3,56,0,28.85,7,3
-5,46,0,29.32,8,9
1,36,0,24.44,10,7
-4,59,0,29.18,10,7
0,61,0,29.05,10,7
-4,60,0,27.68,10,15
-2,56,0,28.85,7,3
-6,47,0,29.41,10,8
11,74,0,28.65,10,9
-3,44,0,28.97,10,7
-3,52,0,29.94,10,3
-6,67,0,30.25,10,5
-5,44,0,29.58,10,7
-16,43,0,30.12,10,5
1,36,0,24.44,10,7
-2,72,0,29.53,10,10
-6,47,0,29.96,10,6
2,36,0,24.44,10,7
-7,68,0,29.54,10,3
-3,69,0,30.27,10,6
3,72,0,29.49,10,9
395,42,0,28.72,2,14
-2,66,0,28.69,10,3
-5,69,0,29.06,10,17
-3,64,0,25.98,10,5
-12,67,0,29.12,10,5
-5,50,0,30.43,10,3
-2,59,0,29.18,10,7
-3,69,0.02,29.71,10,9
-2,72,0,30.03,10,8
-6,67,0,30.25,10,5
-2,62,0,29.2,10,8
-7,44,0,29.99,10,5
18,74,0,29,9,11
0,74,0,29.36,6,10
-4,69,0.02,29.71,10,9
-8,77,0,30.07,10,8
9,70,0,29.09,10,22
-7,62,0,29.99,10,3
-2,37,0,25.77,10,8
-4,60,0,30.28,10,11
-4,53,0.01,29.16,2.5,9
0,44,0.14,29.93,3,8
-5,44,0,29.99,10,5
-8,62,0,29.99,10,3
0,57,0,29.66,10,3
-2,66,0,29.14,10,3
-10,53,0,30.41,10,7
-12,44,0,29.5,10,16
-9,76,0,29.35,6,7
-5,67,0,29.49,10,7
-1,50,0,30.43,10,3
-10,66,0,30.03,7,3
-12,45,0.02,29.16,10,8
-5,69,0,30.27,10,6
